"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","surv_tot","biom_fish","biom_dfly","biom_tot"
"44",8,"d","grow",0.112036284174346,0.000927372261002338,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"45",8,"d","mass",6.63823529411765,0.0141056601272777,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"46",8,"f","emer",92.2051282051282,0.371209436572109,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"47",8,"f","grow",0.0979909392257692,0.000454954352163206,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"48",8,"f","mass",6.74358974358974,0.0120560887389943,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"49",9,"d","emer",100.181818181818,0.855539347384316,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"50",9,"d","grow",0.111706809048724,0.00109891894772451,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"51",9,"d","mass",6.75606060606061,0.014698519793673,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"52",9,"f","emer",90.8947368421053,0.371999964663739,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"53",9,"f","grow",0.0990681805968461,0.000438122182050238,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"54",9,"f","mass",6.75921052631579,0.0104766576869076,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"55",10,"d","emer",101.805555555556,0.863292665291164,40,40,15,30,"high","high","mild","none",37,36,73,247.95,239.2,487.15
"56",10,"d","grow",0.109498993705244,0.000976285630889768,40,40,15,30,"high","high","mild","none",37,36,73,247.95,239.2,487.15
"57",10,"d","mass",6.64444444444444,0.0123949633560604,40,40,15,30,"high","high","mild","none",37,36,73,247.95,239.2,487.15
"58",10,"f","emer",92.7297297297297,0.369020305764354,40,40,15,30,"high","high","mild","none",37,36,73,247.95,239.2,487.15
"59",10,"f","grow",0.0980362444548997,0.000412594833594697,40,40,15,30,"high","high","mild","none",37,36,73,247.95,239.2,487.15
"60",10,"f","mass",6.70135135135135,0.00806096458730357,40,40,15,30,"high","high","mild","none",37,36,73,247.95,239.2,487.15
"61",11,"d","emer",103.705882352941,0.934623169127052,40,40,15,30,"high","high","mild","none",40,34,74,270.55,227.9,498.45
