"","sync_fish","sync_dfly","mean_fish","mean_dfly","asym_fish","asym_dfly","n_fish","n_dfly","sp","var","mean","se"
"75","low","high","same","early",0.5,0.5,50,50,"d","surv",25.83,1.92
"76","low","high","same","early",0.5,0.5,50,50,"f","biom",185.72,5.31
"77","low","high","same","early",0.5,0.5,50,50,"f","emer",95.6,1.88
"78","low","high","same","early",0.5,0.5,50,50,"f","grow",0.12,0
"79","low","high","same","early",0.5,0.5,50,50,"f","mass",7.49,0.07
"80","low","high","same","early",0.5,0.5,50,50,"f","surv",24.83,0.79
"81","low","high","late","early",0.5,0.5,50,50,"d","biom",299.59,6.72
"82","low","high","late","early",0.5,0.5,50,50,"d","emer",113.4,1.09
"83","low","high","late","early",0.5,0.5,50,50,"d","grow",0.11,0
"84","low","high","late","early",0.5,0.5,50,50,"d","mass",6.71,0.04
"85","low","high","late","early",0.5,0.5,50,50,"d","surv",44.67,1.05
"86","low","high","late","early",0.5,0.5,50,50,"f","biom",117.37,5.92
"87","low","high","late","early",0.5,0.5,50,50,"f","emer",102.62,2.88
"88","low","high","late","early",0.5,0.5,50,50,"f","grow",0.13,0
"89","low","high","late","early",0.5,0.5,50,50,"f","mass",7.69,0.14
"90","low","high","late","early",0.5,0.5,50,50,"f","surv",15.33,0.95
