"","run_num","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","biom_fish","biom_dfly","biom_tot","sp","id","meta","hatch_date","end_date","growth_time","growth_rate","max_size"
"415",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","22",1,23,69,46,0.164130434782609,7.55
"416",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","23",1,51,179,128,0.0515625,6.6
"417",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","24",1,38,137,99,0.0651515151515152,6.45
"418",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","25",1,33,94,61,0.105737704918033,6.45
"419",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","26",1,46,202,156,0.0413461538461538,6.45
"420",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","27",1,34,106,72,0.0902777777777778,6.5
"421",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","28",1,38,111,73,0.0842465753424658,6.15
"422",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","29",0,41,94,53,0.0962264150943396,5.1
"423",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","3",1,20,70,50,0.144,7.2
"424",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","30",1,23,65,42,0.155952380952381,6.55
"425",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","31",1,49,189,140,0.0432142857142857,6.05
"426",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","32",1,38,119,81,0.0777777777777778,6.3
"427",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","33",1,33,102,69,0.0934782608695652,6.45
"428",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","34",0,42,120,78,0.0653846153846154,5.1
"429",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","35",1,26,90,64,0.1,6.4
"430",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","36",1,24,87,63,0.104761904761905,6.6
"431",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","37",1,43,175,132,0.0492424242424242,6.5
"432",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","38",0,51,147,96,0.0536458333333333,5.15
"433",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","39",1,27,85,58,0.121551724137931,7.05
"434",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","4",1,24,79,55,0.115454545454545,6.35
"435",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","40",1,37,107,70,0.0864285714285714,6.05
"436",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","5",1,39,116,77,0.0792207792207792,6.1
"437",6,"high","high","none","none",40,32,274.1,210.15,484.25,"d","6",0,37,73,36,0.118055555555556,4.25
