"","run_num","id","sync","asym","synchrony","asymmetry","n_surv","n_dead","biomass","mean_size","meta","final_size","hatch_date","end_date","growth_time","growth_rate"
"54",1,54,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.25,52,132,80,0.078125
"55",1,55,5,0,"high","none",73,7,485.1,6.64520547945205,1,7,44,110,66,0.106060606060606
"56",1,56,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.2,49,102,53,0.116981132075472
"57",1,57,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.2,51,122,71,0.0873239436619718
"58",1,58,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.85,44,84,40,0.17125
"59",1,59,5,0,"high","none",73,7,485.1,6.64520547945205,1,7.05,41,89,48,0.146875
"60",1,60,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.85,47,109,62,0.110483870967742
"61",1,61,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.55,49,108,59,0.111016949152542
"62",1,62,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.85,40,78,38,0.180263157894737
"63",1,63,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.6,47,100,53,0.124528301886792
"64",1,64,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.85,42,91,49,0.139795918367347
"65",1,65,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.15,51,128,77,0.0798701298701299
"66",1,66,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.5,48,106,58,0.112068965517241
"67",1,67,5,0,"high","none",73,7,485.1,6.64520547945205,1,7.15,48,103,55,0.13
"68",1,68,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.85,39,88,49,0.139795918367347
"69",1,69,5,0,"high","none",73,7,485.1,6.64520547945205,1,7.05,43,92,49,0.143877551020408
"70",1,70,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.35,47,110,63,0.100793650793651
"71",1,71,5,0,"high","none",73,7,485.1,6.64520547945205,0,5.9,57,162,105,0.0561904761904762
"72",1,72,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.5,55,144,89,0.0730337078651685
"73",1,73,5,0,"high","none",73,7,485.1,6.64520547945205,0,5.75,52,116,64,0.08984375
"74",1,74,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.85,44,90,46,0.148913043478261
"75",1,75,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.3,50,119,69,0.091304347826087
"76",1,76,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.55,43,89,46,0.142391304347826
"77",1,77,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.15,57,151,94,0.0654255319148936
"78",1,78,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.05,51,116,65,0.0930769230769231
"79",1,79,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.3,56,158,102,0.0617647058823529
"80",1,80,5,0,"high","none",73,7,485.1,6.64520547945205,1,6.4,50,121,71,0.0901408450704225
"81",2,1,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.7,44,93,49,0.136734693877551
"82",2,2,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.5,49,109,60,0.108333333333333
"83",2,3,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.05,42,85,43,0.163953488372093
"84",2,4,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.75,50,103,53,0.127358490566038
"85",2,5,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,50,115,65,0.0992307692307692
"86",2,6,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.3,40,86,46,0.158695652173913
"87",2,7,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.7,49,127,78,0.0858974358974359
"88",2,8,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.65,47,114,67,0.0992537313432836
"89",2,9,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.15,52,115,63,0.0976190476190476
"90",2,10,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.75,35,75,40,0.19375
"91",2,11,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,55,149,94,0.0670212765957447
"92",2,12,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.85,44,94,50,0.137
"93",2,13,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,54,123,69,0.091304347826087
"94",2,14,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.05,50,126,76,0.0927631578947368
"95",2,15,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.8,45,105,60,0.113333333333333
"96",2,16,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,43,87,44,0.143181818181818
"97",2,17,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.6,54,115,61,0.0918032786885246
"98",2,18,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,47,110,63,0.1
"99",2,19,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,47,99,52,0.124038461538462
"100",2,20,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.2,39,78,39,0.184615384615385
"101",2,21,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.85,43,92,49,0.139795918367347
"102",2,22,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.95,43,95,52,0.133653846153846
"103",2,23,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.4,48,106,58,0.110344827586207
"104",2,24,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,48,98,50,0.129
"105",2,25,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.55,52,115,63,0.0880952380952381
"106",2,26,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.4,57,132,75,0.072
"107",2,27,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.7,46,96,50,0.134
"108",2,28,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.4,46,111,65,0.0984615384615385
"109",2,29,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.85,46,99,53,0.129245283018868
"110",2,30,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.35,50,114,64,0.09921875
"111",2,31,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.15,43,94,51,0.140196078431373
"112",2,32,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,49,107,58,0.111206896551724
"113",2,33,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,46,93,47,0.134042553191489
"114",2,34,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.85,50,103,53,0.110377358490566
"115",2,35,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.7,50,107,57,0.1
"116",2,36,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.05,54,141,87,0.0695402298850575
"117",2,37,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.95,46,98,52,0.133653846153846
"118",2,38,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.4,54,168,114,0.056140350877193
"119",2,39,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,53,130,77,0.0818181818181818
"120",2,40,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.55,46,92,46,0.142391304347826
"121",2,41,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.1,51,106,55,0.110909090909091
"122",2,42,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.1,37,78,41,0.173170731707317
"123",2,43,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.05,49,112,63,0.096031746031746
"124",2,44,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,47,97,50,0.129
"125",2,45,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.35,48,92,44,0.144318181818182
"126",2,46,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.8,52,113,61,0.0950819672131148
"127",2,47,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.35,53,122,69,0.0920289855072464
"128",2,48,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,47,103,56,0.115178571428571
"129",2,49,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.5,50,108,58,0.112068965517241
"130",2,50,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.5,54,165,111,0.0585585585585586
"131",2,51,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.25,52,113,61,0.102459016393443
"132",2,52,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.5,46,92,46,0.141304347826087
"133",2,53,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,49,111,62,0.104032258064516
"134",2,54,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.2,51,118,67,0.0925373134328358
"135",2,55,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.35,49,107,58,0.10948275862069
"136",2,56,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.85,44,87,43,0.159302325581395
"137",2,57,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,47,107,60,0.1075
"138",2,58,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.65,48,116,68,0.0977941176470588
"139",2,59,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,48,116,68,0.0926470588235294
"140",2,60,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.55,46,96,50,0.131
"141",2,61,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.65,45,105,60,0.110833333333333
"142",2,62,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.2,39,80,41,0.175609756097561
"143",2,63,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,48,106,58,0.108620689655172
"144",2,64,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.1,42,87,45,0.157777777777778
"145",2,65,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.35,49,97,48,0.132291666666667
"146",2,66,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.6,47,105,58,0.113793103448276
"147",2,67,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.7,45,94,49,0.136734693877551
"148",2,68,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.3,51,118,67,0.0940298507462687
"149",2,69,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.1,42,93,51,0.13921568627451
"150",2,70,5,0,"high","none",73,7,482.95,6.61575342465753,0,5.3,54,133,79,0.0670886075949367
"151",2,71,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.5,46,97,51,0.127450980392157
"152",2,72,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.05,38,80,42,0.167857142857143
"153",2,73,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.2,44,91,47,0.153191489361702
"154",2,74,5,0,"high","none",73,7,482.95,6.61575342465753,1,7.4,40,83,43,0.172093023255814
"155",2,75,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.85,43,92,49,0.139795918367347
"156",2,76,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.7,46,100,54,0.124074074074074
"157",2,77,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.55,47,110,63,0.103968253968254
"158",2,78,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.45,47,100,53,0.121698113207547
"159",2,79,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.85,42,82,40,0.17125
"160",2,80,5,0,"high","none",73,7,482.95,6.61575342465753,1,6.05,48,118,70,0.0864285714285714
"161",3,1,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.5,50,118,68,0.0955882352941176
"162",3,2,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.6,42,86,44,0.15
"163",3,3,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.55,52,101,49,0.113265306122449
"164",3,4,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.95,51,116,65,0.0915384615384615
"165",3,5,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.25,49,108,59,0.105932203389831
"166",3,6,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.05,49,105,56,0.108035714285714
"167",3,7,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.6,50,123,73,0.0904109589041096
"168",3,8,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.55,49,110,61,0.107377049180328
"169",3,9,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.8,51,109,58,0.1
"170",3,10,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.8,40,88,48,0.141666666666667
"171",3,11,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.55,42,87,45,0.167777777777778
"172",3,12,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.35,47,131,84,0.0755952380952381
"173",3,13,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.6,43,90,47,0.161702127659574
"174",3,14,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.45,45,103,58,0.111206896551724
"175",3,15,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.55,42,92,50,0.131
"176",3,16,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.3,56,151,95,0.0663157894736842
"177",3,17,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.9,40,79,39,0.176923076923077
"178",3,18,5,0,"high","none",71,9,473.8,6.67323943661972,1,7,44,97,53,0.132075471698113
"179",3,19,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.05,42,85,43,0.163953488372093
"180",3,20,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.25,46,100,54,0.134259259259259
"181",3,21,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.65,39,87,48,0.159375
"182",3,22,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.3,45,91,46,0.13695652173913
"183",3,23,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.2,53,121,68,0.0911764705882353
"184",3,24,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.75,42,83,41,0.164634146341463
"185",3,25,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.35,53,143,90,0.0705555555555556
"186",3,26,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.25,58,116,58,0.0905172413793103
"187",3,27,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.95,41,86,45,0.154444444444444
"188",3,28,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.25,41,89,48,0.151041666666667
"189",3,29,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.35,48,99,51,0.124509803921569
"190",3,30,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.1,37,76,39,0.182051282051282
"191",3,31,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.15,53,128,75,0.082
"192",3,32,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.55,46,100,54,0.121296296296296
"193",3,33,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.35,48,112,64,0.09921875
"194",3,34,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.45,48,118,70,0.0921428571428572
"195",3,35,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.3,46,90,44,0.143181818181818
"196",3,36,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.1,51,118,67,0.091044776119403
"197",3,37,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.05,43,88,45,0.156666666666667
"198",3,38,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.8,54,130,76,0.0763157894736842
"199",3,39,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.85,51,115,64,0.09140625
"200",3,40,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.55,45,92,47,0.13936170212766
"201",3,41,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.35,46,99,53,0.119811320754717
"202",3,42,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.3,52,131,79,0.079746835443038
"203",3,43,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.85,44,92,48,0.142708333333333
"204",3,44,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.25,41,85,44,0.164772727272727
"205",3,45,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.25,55,142,87,0.0718390804597701
"206",3,46,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.15,56,142,86,0.0715116279069768
"207",3,47,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.65,49,118,69,0.0963768115942029
"208",3,48,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.65,46,92,46,0.144565217391304
"209",3,49,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.6,41,87,46,0.165217391304348
"210",3,50,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.1,41,82,41,0.173170731707317
"211",3,51,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.4,50,109,59,0.108474576271186
"212",3,52,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.55,59,149,90,0.0616666666666667
"213",3,53,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.1,50,147,97,0.0628865979381443
"214",3,54,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.6,39,82,43,0.176744186046512
"215",3,55,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.8,41,82,41,0.165853658536585
"216",3,56,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.95,50,109,59,0.100847457627119
"217",3,57,5,0,"high","none",71,9,473.8,6.67323943661972,1,7,45,90,45,0.155555555555556
"218",3,58,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.45,49,99,50,0.129
"219",3,59,5,0,"high","none",71,9,473.8,6.67323943661972,0,5.3,58,138,80,0.06625
"220",3,60,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.2,52,118,66,0.0939393939393939
"221",3,61,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.65,50,130,80,0.083125
"222",3,62,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.75,42,81,39,0.173076923076923
"223",3,63,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.35,49,107,58,0.10948275862069
"224",3,64,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.75,51,154,103,0.0655339805825243
"225",3,65,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.3,43,93,50,0.146
"226",3,66,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.05,54,148,94,0.0643617021276596
"227",3,67,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.5,47,99,52,0.125
"228",3,68,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.45,47,105,58,0.111206896551724
"229",3,69,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.45,44,96,52,0.143269230769231
"230",3,70,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.6,47,102,55,0.12
"231",3,71,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.35,39,85,46,0.159782608695652
"232",3,72,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.55,43,89,46,0.142391304347826
"233",3,73,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.2,50,113,63,0.0984126984126984
"234",3,74,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.8,45,109,64,0.10625
"235",3,75,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.5,53,130,77,0.0844155844155844
"236",3,76,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.2,51,125,74,0.0837837837837838
"237",3,77,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.15,48,105,57,0.107894736842105
"238",3,78,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.9,40,85,45,0.153333333333333
"239",3,79,5,0,"high","none",71,9,473.8,6.67323943661972,1,6.7,43,80,37,0.181081081081081
"240",3,80,5,0,"high","none",71,9,473.8,6.67323943661972,1,7.15,45,92,47,0.152127659574468
"241",4,1,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.25,47,109,62,0.100806451612903
"242",4,2,5,0,"high","none",73,7,484.5,6.63698630136986,1,7.05,38,81,43,0.163953488372093
"243",4,3,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.3,50,117,67,0.0940298507462687
"244",4,4,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.8,50,116,66,0.103030303030303
"245",4,5,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.8,41,84,43,0.158139534883721
"246",4,6,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.65,45,95,50,0.133
"247",4,7,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.55,46,93,47,0.13936170212766
"248",4,8,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.35,51,129,78,0.0814102564102564
"249",4,9,5,0,"high","none",73,7,484.5,6.63698630136986,1,7.4,38,78,40,0.185
"250",4,10,5,0,"high","none",73,7,484.5,6.63698630136986,1,7.05,39,83,44,0.160227272727273
"251",4,11,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.55,51,145,94,0.0696808510638298
"252",4,12,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.05,48,120,72,0.0840277777777778
"253",4,13,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.75,42,87,45,0.15
"254",4,14,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.7,46,106,60,0.111666666666667
"255",4,15,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.15,49,117,68,0.0904411764705882
"256",4,16,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.85,37,79,42,0.163095238095238
"257",4,17,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.7,47,102,55,0.121818181818182
"258",4,18,5,0,"high","none",73,7,484.5,6.63698630136986,0,5.8,49,110,61,0.0950819672131148
"259",4,19,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.5,50,128,78,0.0833333333333333
"260",4,20,5,0,"high","none",73,7,484.5,6.63698630136986,1,7.85,40,89,49,0.160204081632653
"261",4,21,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.8,38,75,37,0.183783783783784
"262",4,22,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.4,44,98,54,0.118518518518519
"263",4,23,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.3,49,130,81,0.0777777777777778
"264",4,24,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.25,50,125,75,0.0833333333333333
"265",4,25,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.45,45,94,49,0.131632653061224
"266",4,26,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.45,44,102,58,0.111206896551724
"267",4,27,5,0,"high","none",73,7,484.5,6.63698630136986,0,5.75,49,119,70,0.0821428571428571
"268",4,28,5,0,"high","none",73,7,484.5,6.63698630136986,1,6.3,43,87,44,0.143181818181818
