"","run_num","synchrony","asymmetry","var","abs_value","se"
"136",28,"med","mild","biom",427.75,NA
"137",28,"med","mild","emer",113.62,4.25
"138",28,"med","mild","grow",0.11,0.01
"139",28,"med","mild","mass",7.38,0.14
"140",28,"med","mild","surv",58,NA
"141",29,"med","mild","biom",474.15,NA
"142",29,"med","mild","emer",112.96,3.54
"143",29,"med","mild","grow",0.11,0
"144",29,"med","mild","mass",7.08,0.11
"145",29,"med","mild","surv",67,NA
"146",30,"med","mild","biom",448.65,NA
"147",30,"med","mild","emer",113.32,3.91
"148",30,"med","mild","grow",0.11,0
"149",30,"med","mild","mass",7.12,0.12
"150",30,"med","mild","surv",63,NA
"151",31,"med","strong","biom",444.75,NA
"152",31,"med","strong","emer",136.83,4.44
"153",31,"med","strong","grow",0.08,0
"154",31,"med","strong","mass",7.54,0.17
"155",31,"med","strong","surv",59,NA
"156",32,"med","strong","biom",442.65,NA
"157",32,"med","strong","emer",137.57,4.12
"158",32,"med","strong","grow",0.09,0
"159",32,"med","strong","mass",7.63,0.19
"160",32,"med","strong","surv",58,NA
"161",33,"med","strong","biom",453.45,NA
"162",33,"med","strong","emer",135.89,3.75
"163",33,"med","strong","grow",0.08,0
"164",33,"med","strong","mass",7.43,0.15
"165",33,"med","strong","surv",61,NA
"166",34,"med","strong","biom",426.35,NA
"167",34,"med","strong","emer",136.76,4.92
"168",34,"med","strong","grow",0.09,0
"169",34,"med","strong","mass",7.75,0.21
"170",34,"med","strong","surv",55,NA
"171",35,"med","strong","biom",439.5,NA
"172",35,"med","strong","emer",131.71,3.33
"173",35,"med","strong","grow",0.09,0
"174",35,"med","strong","mass",7.58,0.17
"175",35,"med","strong","surv",58,NA
"176",36,"med","strong","biom",434.05,NA
"177",36,"med","strong","emer",136.71,4.42
"178",36,"med","strong","grow",0.09,0
"179",36,"med","strong","mass",7.75,0.21
"180",36,"med","strong","surv",56,NA
"181",37,"low","none","biom",429.75,NA
"182",37,"low","none","emer",96.22,4.22
"183",37,"low","none","grow",0.13,0
"184",37,"low","none","mass",7.28,0.11
"185",37,"low","none","surv",59,NA
"186",38,"low","none","biom",438.8,NA
"187",38,"low","none","emer",92.98,3.64
"188",38,"low","none","grow",0.13,0
"189",38,"low","none","mass",7.31,0.1
"190",38,"low","none","surv",60,NA
